Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
Character_EnableMsaa_Desc,desc,ONでMSAAを有効化（エッジ改善、負荷増）。FXAAと併用可,Enables MSAA when ON. Improves edges with higher cost. Can be combined with FXAA.,开启后启用 MSAA。改善边缘但会增加负载。可与 FXAA 同时使用。,開啟後啟用 MSAA。改善邊緣但會增加負載。可與 FXAA 併用。,켜면 MSAA를 활성화합니다. 가장자리를 개선하지만 부하가 증가합니다. FXAA와 함께 사용할 수 있습니다.,Habilita MSAA cuando está activado. Mejora los bordes con mayor costo. Se puede combinar con FXAA.,تمكين MSAA عند التشغيل. يحسن الحواف بتكلفة أعلى. يمكن دمجه مع FXAA.,Mengaktifkan MSAA saat AKTIF. Meningkatkan tepian dengan biaya lebih tinggi. Dapat dikombinasikan dengan FXAA.
Character_EnableMsaa_Name,name,MSAA,MSAA,MSAA,MSAA,MSAA,MSAA,MSAA,MSAA
Character_EnablePhysics_Desc,desc,Live2D の物理演算を有効にします,Enables Live2D physics.,启用 Live2D 物理演算。,啟用 Live2D 物理演算。,Live2D 물리 연산을 활성화합니다.,Habilita la física Live2D.,تمكين فيزياء Live2D.,Mengaktifkan fisika Live2D.
Character_EnablePhysics_Name,name,使う,Enable,启用,啟用,사용,Permitir,يُمكَِن,Memungkinkan
Character_EyeBlinkInterval_Desc,desc,まばたきの間隔を秒単位で設定します,Sets blink interval in seconds.,以秒设置眨眼间隔。,以秒設定眨眼間隔。,눈깜빡임 간격을 초 단위로 설정합니다.,Configura el intervalo de parpadeo en segundos.,يضبط فاصل الرمش بالثواني.,Mengatur interval kedipan dalam detik.
Character_EyeBlinkInterval_Name,name,目パチ間隔,Blink Interval,眨眼间隔,眨眼間隔,눈깜빡임 간격,Intervalo de parpadeo,فاصل الرمش,Interval kedipan
Character_File_Desc,desc,Live2Dモデルのフォルダ、または .model3.json ファイルを指定してください,Select a Live2D model folder or .model3.json file.,请选择 Live2D 模型文件夹或 .model3.json 文件。,請選擇 Live2D 模型資料夾或 .model3.json 檔案。,Live2D 모델 폴더 또는 .model3.json 파일을 선택하세요.,Selecciona una carpeta de modelo Live2D o un archivo .model3.json.,حدد مجلد نموذج Live2D أو ملف .model3.json.,Pilih folder model Live2D atau file .model3.json.
Character_File_Name,name,モデルフォルダ,Model Folder,模型文件夹,模型資料夾,모델 폴더,Carpeta del modelo,مجلد النموذج,Folder model
Character_HitAreaPhysicsStrength_Desc,desc,ヒットボックス反応中にドラッグ相当の物理入力を追加します,Adds drag-like physics input while a hit box reaction is active.,命中框反应期间添加类似拖拽的物理输入。,命中框反應期間加入類似拖曳的物理輸入。,히트박스 반응 중 드래그에 해당하는 물리 입력을 추가합니다.,Agrega entrada física similar a un arrastre mientras una reacción de hit box está activa.,يضيف مدخلات فيزيائية تشبه السحب بينما يكون تفاعل مربع النقر نشطًا.,Menambahkan masukan fisika seperti tarikan saat reaksi kotak hit aktif.
Character_HitAreaPhysicsStrength_Name,name,ヒットボックス時の物理演算,Hit Box Physics,模型拖拽物理演算,拖曳物理效果,끌기 물리,Física de la caja de impacto,هيت بوكس ​​فيزياء,Fisika Kotak Pukulan
Character_InternalRenderScale_Desc,desc,内部描画倍率。大きいほど拡大に強い（既定: 2.0）,Internal rendering scale. Larger values improve upscale quality (default: 2.0).,内部渲染倍率。越大越适合放大显示（默认 2.0）。,內部渲染倍率。越大越適合放大顯示（預設 2.0）。,내부 렌더링 배율입니다. 값이 클수록 확대에 강합니다(기본값: 2.0).,"Escala de renderizado interno. Los valores más altos mejoran la calidad superior (predeterminado: 2,0).",مقياس التقديم الداخلي. تعمل القيم الأكبر على تحسين الجودة العالية (الافتراضي: 2.0).,Skala rendering internal. Nilai yang lebih besar meningkatkan kualitas kelas atas (default: 2.0).
Character_InternalRenderScale_Name,name,内部倍率,Internal Scale,内部倍率,內部倍率,내부 배율,Escala interna,مقياس داخلي,Skala Internal
Character_LinkId_Desc,desc,ターゲットポイント/ヒットボックス図形と関連付けるID。空欄なら自動採番します,ID used to associate target points and hit boxes. Auto-generated when empty.,用于关联目标点和命中框图形的ID。留空时自动生成。,用於關聯目標點與命中框圖形的ID。留空時會自動產生。,타깃 포인트/히트박스와 연결할 ID입니다. 비워 두면 자동 생성됩니다.,ID usado para asociar puntos objetivo y cajas de impacto. Se genera automáticamente si se deja vacío.,معرّف يُستخدم لربط نقاط الهدف وصناديق الإصابة. يتم إنشاؤه تلقائيًا إذا تُرك فارغًا.,ID yang digunakan untuk mengaitkan titik target dan hit box. Dibuat otomatis jika kosong.
Character_LinkId_Name,name,リンクID,Link ID,链接ID,連結ID,링크 ID,ID de vínculo,معرّف الربط,ID tautan
Character_LipSyncGain_Desc,desc,口パクの感度を調整します。通常は 1.0 を推奨します,Adjusts lip sync sensitivity. 1.0 is recommended.,调整口型同步灵敏度。通常推荐 1.0。,調整口型同步靈敏度。通常建議 1.0。,립싱크 감도를 조정합니다. 보통 1.0을 권장합니다.,Ajusta la sensibilidad de la sincronización labial. Se recomienda 1.0.,يضبط حساسية مزامنة الشفاه. يوصى باستخدام 1.0.,Menyesuaikan sensitivitas sinkronisasi bibir. Disarankan 1.0.
Character_LipSyncGain_Name,name,口パク感度,Lip Sync Gain,口型同步灵敏度,口型同步靈敏度,립싱크 감도,Sensibilidad de sincronización labial,حساسية مزامنة الشفاه,Sensitivitas sinkronisasi bibir
Character_LipSyncVowelsOnly_Desc,desc,ONで ParamMouthOpenY / ParamMouthForm を更新せず、A / I / U / E / O の口形パラメータのみを更新します,When ON,updates only A / I / U / E / O vowel parameters instead of ParamMouthOpenY / ParamMouthForm.,开启后不会更新 ParamMouthOpenY / ParamMouthForm，而只更新 A / I / U / E / O 口形参数。,開啟後不更新 ParamMouthOpenY / ParamMouthForm，而只更新 A / I / U / E / O 口形參數。,Cuando está encendido,عندما تكون في وضع التشغيل,Saat AKTIF
Character_LipSyncVowelsOnly_Name,name,口形パラメータのみ,Vowel Parameters Only,仅口形参数,僅口形參數,모음 파라미터만,Solo parámetros de vocales,معلمات حروف العلة فقط,Hanya parameter vokal
Character_Msaa2x_Desc,preset desc,負荷を抑えつつ輪郭を改善,Improves edges with lower cost.,在较低负载下改善边缘。,以較低負載改善邊緣。,낮은 부하로 가장자리를 개선합니다.,Mejora los bordes con menor costo.,يحسن الحواف مع حمل أقل.,Memperbaiki tepi dengan beban lebih rendah.
Character_Msaa2x_Name,preset,2x,2x,2x,2x,2x,2x,2x,2x
Character_Msaa4x_Desc,preset desc,より高品質。負荷が増加,Higher quality with more cost.,更高质量，但负载更高。,更高品質，但負載更高。,더 높은 품질이지만 부하가 증가합니다.,Mayor calidad con más costo.,جودة أعلى مع حمل أكبر.,Kualitas lebih tinggi dengan beban lebih besar.
Character_Msaa4x_Name,preset,4x,4x,4x,4x,4x,4x,4x,4x
Character_MsaaSamplePreset_Desc,desc,MSAA ON時のサンプル数（2x / 4x）,Sample count when MSAA is enabled (2x / 4x).,MSAA 开启时的采样数（2x / 4x）。,MSAA 開啟時的取樣數（2x / 4x）。,MSAA 사용 시 샘플 수입니다(2x / 4x).,Recuento de muestras cuando MSAA está habilitado (2x / 4x).,عدد العينات عند تمكين MSAA (2x / 4x).,Jumlah sampel saat MSAA diaktifkan (2x / 4x).
Character_MsaaSamplePreset_Name,name,MSAAサンプル,MSAA Samples,MSAA采样数,MSAA取樣數,MSAA 샘플 수,MSAA Muestras,MSAA العينات,MSAA Sampel
Character_PhysicsStrength_Desc,desc,50 で標準、0 で物理結果を見えなくし、100 で約2倍まで強めます,50 is standard,0 hides physics effect,and 100 boosts it to about 2x.,50 为标准，0 为不显示物理效果，100 约为 2 倍强度。,50 es estándar,50 هو المعيار,50 adalah standar
Character_PhysicsStrength_Name,name,物理の倍率,Physics Strength,物理强度,物理演算強度,물리 강도,Fuerza física,قوة الفيزياء,Kekuatan Fisika
Character_RenderTargetMaxSize_Desc,desc,内部描画の最大ピクセルサイズ。大きいほど高品質だがVRAM消費増（既定: 8192）,Maximum internal render target size in pixels. Larger values improve quality but use more VRAM (default: 8192).,内部渲染目标的最大像素尺寸。越大质量越高，但会增加 VRAM 占用（默认 8192）。,內部渲染目標的最大像素尺寸。越大品質越高，但會增加 VRAM 使用量（預設 8192）。,내부 렌더 타깃의 최대 픽셀 크기입니다. 클수록 품질은 좋아지지만 VRAM 사용량이 증가합니다(기본값: 8192).,Tamaño máximo del objetivo de renderizado interno en píxeles. Los valores más grandes mejoran la calidad pero utilizan más VRAM (predeterminado: 8192).,الحد الأقصى لحجم هدف العرض الداخلي بالبكسل. تعمل القيم الأكبر على تحسين الجودة ولكنها تستخدم المزيد من VRAM (الافتراضي: 8192).,Ukuran target render internal maksimum dalam piksel. Nilai yang lebih besar meningkatkan kualitas tetapi menggunakan lebih banyak VRAM (default: 8192).
Character_RenderTargetMaxSize_Name,name,RT最大サイズ,Max RT Size,RT最大尺寸,RT最大尺寸,RT 최대 크기,Tamaño máximo RT,الحجم الأقصى RT,Maks RT Ukuran
Character_WindStrength_Desc,desc,0 で無効。値を上げるほどランダムな風入力を強めます,0 disables it. Higher values increase random wind input.,0 为禁用。值越高随机风输入越强。,0 為停用。數值越高隨機風輸入越強。,0이면 비활성화됩니다. 값이 높을수록 랜덤 바람 입력이 강해집니다.,0 lo desactiva. Los valores más altos aumentan la entrada aleatoria de viento.,0 تعطيله. تعمل القيم الأعلى على زيادة مدخلات الرياح العشوائية.,0 menonaktifkannya. Nilai yang lebih tinggi meningkatkan masukan angin acak.
Character_WindStrength_Name,name,風の強さ,Wind Strength,风模拟,風力強度,바람 강도,Fuerza del viento,قوة الرياح,Kekuatan Angin
Error_CheckModelFiles,error,.model3.json の内容と、参照しているファイル一式を確認してください。,Check the contents of the .model3.json and all referenced files.,请检查 .model3.json 的内容以及它引用的所有文件。,請檢查 .model3.json 的內容以及其參照的所有檔案。,.model3.json 내용과 참조 중인 파일 일체를 확인하세요.,Verifique el contenido del .model3.json y todos los archivos a los que se hace referencia.,تحقق من محتويات .model3.json وجميع الملفات المشار إليها.,Periksa konten .model3.json dan semua file yang direferensikan.
Error_InvalidModelSelection,error,Live2Dモデルのフォルダ、または .model3.json を指定してください。,Select a Live2D model folder or .model3.json file.,请选择 Live2D 模型文件夹或 .model3.json 文件。,請選擇 Live2D 模型資料夾或 .model3.json 檔案。,Live2D 모델 폴더 또는 .model3.json 파일을 선택하세요.,Seleccione una carpeta de modelo Live2D o un archivo .model3.json.,حدد مجلد نموذج Live2D أو ملف .model3.json.,Pilih folder model Live2D atau file .model3.json.
Error_ModelFilesMayBeInvalid,error,model3.json が壊れているか、参照先の moc3 / texture / motion ファイルが不足している可能性があります。,model3.json may be invalid,or referenced moc3 / texture / motion files may be missing.,model3.json 可能已损坏，或引用的 moc3 / texture / motion 文件可能缺失。,model3.json 可能已損壞，或參照的 moc3 / texture / motion 檔案可能缺失。,model3.json puede no ser válido,model3.json قد يكون غير صالح,model3.json mungkin tidak valid
Error_ModelLoadFailed_Title,error,Live2Dモデルを読み込めませんでした。,Could not load the Live2D model.,无法加载 Live2D 模型。,無法載入 Live2D 模型。,Live2D 모델을 불러올 수 없습니다.,No se pudo cargar el modelo Live2D.,تعذر تحميل النموذج Live2D.,Tidak dapat memuat model Live2D.
Error_ModelLoadWarnings_Title,error,Live2Dモデルの読込時に確認したい項目があります。,There are items to check when loading the Live2D model.,加载 Live2D 模型时有需要确认的项目。,載入 Live2D 模型時有需要確認的項目。,Live2D 모델 로드 시 확인할 항목이 있습니다.,Hay elementos que se deben verificar al cargar el modelo Live2D.,هناك عناصر يجب التحقق منها عند تحميل الطراز Live2D.,Ada item yang perlu diperiksa saat memuat model Live2D.
Error_ModelPathCheck,error,.model3.json の場所を確認してください。,Check the location of the .model3.json file.,请确认 .model3.json 文件的位置。,請確認 .model3.json 檔案的位置。,.model3.json 파일 위치를 확인하세요.,Verifique la ubicación del archivo .model3.json.,تحقق من موقع الملف .model3.json.,Periksa lokasi file .model3.json.
Error_ModelSelectionWarnings_Title,error,Live2Dモデル選択時に確認したい項目があります。,There are items to check when selecting the Live2D model.,选择 Live2D 模型时有需要确认的项目。,選擇 Live2D 模型時有需要確認的項目。,Live2D 모델 선택 시 확인할 항목이 있습니다.,Hay elementos que se deben verificar al seleccionar el modelo Live2D.,هناك عناصر يجب التحقق منها عند اختيار طراز Live2D.,Ada item yang perlu diperiksa saat memilih model Live2D.
Error_TargetPath_Label,error,対象,Target,对象,對象,대상,Objetivo,هدف,Target
Face_DynamicOverrides_Desc,desc,Cubism標準パラメータとモデル固有のParam/Partを一覧で編集します,Edits Cubism standard parameters and model-specific Param/Part values in a list.,以列表形式编辑 Cubism 标准参数和模型固有的 Param / Part。,以列表方式編輯 Cubism 標準參數與模型固有的 Param / Part。,Cubism 표준 파라미터와 모델 고유 Param / Part 를 목록으로 편집합니다.,Edita los parámetros estándar Cubism y los valores Param/Part específicos del modelo en una lista.,يقوم بتحرير المعلمات القياسية Cubism وقيم Param/Part الخاصة بالطراز في القائمة.,Mengedit parameter standar Cubism dan nilai Param/Part khusus model dalam daftar.
Face_DynamicOverrides_Name,name,一覧,List,列表,列表,목록,Lista,قائمة,Daftar
Face_Expression_Desc,desc,model3.json の Expressions から選択,Selects an expression from model3.json Expressions.,从 model3.json 的 Expressions 中选择。,從 model3.json 的 Expressions 中選擇。,model3.json 의 Expressions 에서 선택합니다.,Selecciona una expresión de model3.json Expressions.,تحديد تعبير من model3.json Expressions.,Memilih ekspresi dari model3.json Expressions.
Face_Expression_Name,name,表情,Expression,表情,表情,표정,Expression,Expression,Expression
Face_IsHidden_Desc,desc,ONで非表示、OFFで表示します,Turns visibility off when ON.,开启时隐藏，关闭时显示。,開啟時隱藏，關閉時顯示。,켜면 숨기고 끄면 표시합니다.,Desactiva la visibilidad cuando está activada.,يقوم بإيقاف الرؤية عند التشغيل.,Menonaktifkan visibilitas saat AKTIF.
Face_IsHidden_Name,name,非表示,Hide,隐藏,隱藏,숨기기,Esconder,يخفي,Bersembunyi
Face_MotionLoop_Desc,desc,ONで face モーションを繰り返し再生します,Loops face motion when ON.,开启后循环播放 face 动作。,開啟後循環播放 face 動作。,켜면 face 모션을 반복 재생합니다.,Los bucles se enfrentan al movimiento cuando están activados.,تواجه الحلقات الحركة عند التشغيل.,Loop gerakan wajah saat AKTIF.
Face_MotionLoop_Name,name,モーションループ,Motion Loop,动作循环,動作循環,모션 루프,Motion Bucle,Motion حلقة,Motion Lingkaran
Face_Motion_Desc,desc,model3.json の Motions から選択（Idle含む）,Selects a motion from model3.json Motions,including Idle.,从 model3.json 的 Motions 中选择（含 Idle）。,從 model3.json 的 Motions 中選擇（含 Idle）。,Selecciona un movimiento de model3.json Motions,تحديد حركة من model3.json Motions,Memilih gerakan dari model3.json Motions
Face_Motion_Name,name,モーション,Motion,动作,動作,모션,Motion,Motion,Motion
Face_OffsetPositionX_Desc,desc,Itemの位置Xに加算する一時オフセット,Temporary offset added to item X position.,加到 Item 的位置 X 上的临时偏移。,加到 Item 的位置 X 上的臨時偏移。,Item 위치 X 에 더하는 임시 오프셋입니다.,Compensación temporal agregada a la posición del artículo X.,تمت إضافة الإزاحة المؤقتة إلى موضع العنصر X.,Offset sementara ditambahkan ke posisi item X.
Face_OffsetPositionX_Name,name,Xオフセット,X Offset,X偏移,X偏移,X 오프셋,X Compensación,X إزاحة,X Mengimbangi
Face_OffsetPositionY_Desc,desc,Itemの位置Yに加算する一時オフセット,Temporary offset added to item Y position.,加到 Item 的位置 Y 上的临时偏移。,加到 Item 的位置 Y 上的臨時偏移。,Item 위치 Y 에 더하는 임시 오프셋입니다.,Compensación temporal agregada a la posición del artículo Y.,تمت إضافة الإزاحة المؤقتة إلى موضع العنصر Y.,Offset sementara ditambahkan ke posisi item Y.
Face_OffsetPositionY_Name,name,Yオフセット,Y Offset,Y偏移,Y偏移,Y 오프셋,Y Compensación,Y إزاحة,Y Mengimbangi
Face_OffsetRotation_Desc,desc,Itemの回転に加算する一時オフセット,Temporary offset added to item rotation.,加到 Item 旋转角上的临时偏移。,加到 Item 旋轉角上的臨時偏移。,Item 회전에 더하는 임시 오프셋입니다.,Desplazamiento temporal agregado a la rotación de artículos.,تمت إضافة الإزاحة المؤقتة لتدوير العنصر.,Offset sementara ditambahkan ke rotasi item.
Face_OffsetRotation_Name,name,回転角オフセット,Rotation Offset,旋转偏移,旋轉偏移,회전각 오프셋,Desplazamiento de rotación,إزاحة التناوب,Perimbangan Rotasi
Face_OffsetScale_Desc,desc,Itemの拡大率に加算する一時オフセット,Temporary offset added to item scale.,加到 Item 缩放率上的临时偏移。,加到 Item 縮放率上的臨時偏移。,Item 배율에 더하는 임시 오프셋입니다.,Compensación temporal agregada a la escala del artículo.,تمت إضافة الإزاحة المؤقتة إلى مقياس الصنف.,Offset sementara ditambahkan ke skala item.
Face_OffsetScale_Name,name,拡大率オフセット,Scale Offset,缩放偏移,縮放偏移,배율 오프셋,Desplazamiento de escala,إزاحة النطاق,Perimbangan Skala
Group_Blink,group,目パチ,Eye Blink,眨眼,眨眼,눈깜빡임,Parpadeo,الرمش,Kedipan
Group_Breath,group,呼吸,Breath,呼吸,呼吸,호흡,Respiración,التنفس,Pernapasan
Group_Link,group,連携,Link,联动,連動,연동,Vinculación,الربط,Tautan
Group_LipSync,group,口パク,Lip Sync,口型同步,口型同步,립싱크,Sincronización labial,مزامنة الشفاه,Sinkronisasi bibir
Group_Model,group,モデル,Model,模型,模型,모델,Modelo,النموذج,Model
Group_Parameter,group,パラメータ,Parameters,参数,參數,파라미터,Parámetros,المعلمات,Parameter
Group_Physics,group,物理演算,Physics,物理演算,物理演算,물리 연산,Física,الفيزياء,Fisika
Group_Quality,group,描画品質,Render Quality,渲染质量,渲染品質,렌더링 품질,Calidad de renderizado,جودة العرض,Kualitas render
Hit_Character_Desc,desc,連携する Live2D キャラクターを選択します,Selects the linked Live2D character.,选择联动的 Live2D 角色。,選擇要連動的 Live2D 角色。,연동할 Live2D 캐릭터를 선택합니다.,Selecciona el carácter Live2D vinculado.,تحديد الحرف المرتبط Live2D.,Memilih karakter Live2D yang tertaut.
Hit_Character_Name,name,キャラクター,Character,角色,角色,캐릭터,Personaje,شخصية,Karakter
Hit_DynamicOverrides_Desc,desc,ヒット中に一時適用する Param / Part を編集します,Edits Param / Part values applied temporarily while the hit is active.,编辑命中期间临时应用的 Param / Part。,編輯命中期間暫時套用的 Param / Part。,히트 중에 일시 적용할 Param / Part 를 편집합니다.,Edita los valores Param / Part aplicados temporalmente mientras el hit está activo.,تم تطبيق قيم التعديلات Param / Part مؤقتًا أثناء تنشيط النتيجة.,Mengedit nilai Param / Part yang diterapkan sementara saat hit aktif.
Hit_DynamicOverrides_Name,name,一覧,List,列表,列表,목록,Lista,قائمة,Daftar
Hit_Expression_Desc,desc,ヒットボックスが当たった時に一時的に上書きする表情,Expression temporarily overridden when the hit box is triggered.,命中框触发时临时覆盖的表情。,命中框觸發時暫時覆蓋的表情。,히트박스가 반응했을 때 일시적으로 덮어쓸 표정입니다.,Expression se anula temporalmente cuando se activa el cuadro de impacto.,تم تجاوز Expression مؤقتًا عند تشغيل مربع النقر.,Expression untuk sementara ditimpa ketika kotak hit dipicu.
Hit_Expression_Name,name,表情,Expression,表情,表情,표정,Expression,Expression,Expression
Hit_Height_Desc,desc,矩形高さ,Rectangle height.,矩形高度。,矩形高度。,사각형 높이입니다.,Altura del rectángulo.,ارتفاع المستطيل.,Tinggi persegi panjang.
Hit_Height_Name,name,高さ,Height,高度,高度,높이,Altura,ارتفاع,Tinggi
Hit_HitArea_Desc,desc,model3.json の HitAreas から反応対象を選択します。Name が空のモデルでは Id を使います,Selects the reaction target from HitAreas in model3.json. Uses Id when Name is empty.,从 model3.json 的 HitAreas 中选择反应目标。若 Name 为空则使用 Id。,從 model3.json 的 HitAreas 中選擇反應目標。若 Name 為空則使用 Id。,model3.json 의 HitAreas 에서 반응 대상을 선택합니다. Name 이 비어 있으면 Id 를 사용합니다.,Selecciona el objetivo de reacción de HitAreas en model3.json. Utiliza Id cuando Name está vacío.,يحدد هدف التفاعل من HitAreas في model3.json. يستخدم Id عندما يكون Name فارغًا.,Memilih target reaksi dari HitAreas di model3.json. Menggunakan Id ketika Name kosong.
Hit_HitArea_Name,name,ヒットエリア,Hit Area,命中区域,命中區域,히트 영역,Área de impacto,منطقة الضرب,Daerah Pukulan
Hit_IsHidden_Desc,desc,ONでガイド図形のみ非表示にします。ヒット判定と反応は有効です,When ON,only the guide shape is hidden. Hit detection and reactions stay active.,开启时仅隐藏引导图形，命中判定和反应仍然有效。,開啟時僅隱藏導引圖形，命中判定與反應仍然有效。,Cuando está encendido,عندما تكون في وضع التشغيل,Saat AKTIF
Hit_IsHidden_Name,name,非表示,Hide,隐藏,隱藏,숨기기,Esconder,يخفي,Bersembunyi
Hit_LinkId_Desc,desc,内部識別子。通常は対象キャラクター選択で自動設定されます,Internal identifier. Usually set automatically by target character selection.,内部标识符。通常会在选择目标角色时自动设置。,內部識別碼。通常會在選擇目標角色時自動設定。,내부 식별자입니다. 보통 대상 캐릭터 선택 시 자동으로 설정됩니다.,Identificador interno. Generalmente se establece automáticamente mediante la selección del personaje objetivo.,معرف داخلي. عادةً ما يتم تعيينه تلقائيًا عن طريق اختيار الحرف المستهدف.,Pengidentifikasi internal. Biasanya diatur secara otomatis berdasarkan pemilihan karakter target.
Hit_LinkId_Name,name,リンクID,Link ID,链接ID,連結ID,링크 ID,ID de enlace,معرف الارتباط,ID Tautan
Hit_Motion_Desc,desc,ヒットボックスが当たった時に1回再生するモーション,Motion played once when the hit box is triggered.,命中框触发时播放一次的动作。,命中框觸發時播放一次的動作。,히트박스가 반응했을 때 한 번 재생할 모션입니다.,Motion se reproduce una vez cuando se activa el cuadro de impacto.,Motion يتم لعبها مرة واحدة عند تفعيل مربع الضرب.,Motion dimainkan sekali ketika kotak hit dipicu.
Hit_Motion_Name,name,モーション,Motion,动作,動作,모션,Motion,Motion,Motion
Hit_Width_Desc,desc,矩形幅,Rectangle width.,矩形宽度。,矩形寬度。,사각형 너비입니다.,Ancho del rectángulo.,عرض المستطيل.,Lebar persegi panjang.
Hit_Width_Name,name,幅,Width,宽度,寬度,너비,Ancho,عرض,Lebar
Hit_X_Desc,desc,矩形中心X,Rectangle center X.,矩形中心 X。,矩形中心 X。,사각형 중심 X 입니다.,Centro del rectángulo X.,مركز المستطيل X.,Pusat persegi panjang X.
Hit_X_Name,name,X,X,X,X,X,X,X,X
Hit_Y_Desc,desc,矩形中心Y,Rectangle center Y.,矩形中心 Y。,矩形中心 Y。,사각형 중심 Y 입니다.,Centro del rectángulo Y.,مركز المستطيل Y.,Pusat persegi panjang Y.
Hit_Y_Name,name,Y,Y,Y,Y,Y,Y,Y,Y
Item_DynamicOverrides_Desc,desc,モデル全体に継続適用する Param / Part を編集します。face 側の設定がある場合はそちらが優先されます,Edits Param / Part values applied continuously to the whole model. Face-side settings take priority when present.,编辑持续作用于整个模型的 Param / Part。存在 face 侧设置时以其为优先。,編輯持續作用於整個模型的 Param / Part。存在 face 側設定時會優先使用。,모델 전체에 지속 적용할 Param / Part 를 편집합니다. face 쪽 설정이 있으면 그쪽이 우선됩니다.,Edita los valores Param / Part aplicados continuamente a todo el modelo. Los ajustes del lado frontal tienen prioridad cuando están presentes.,يتم تطبيق قيم التحرير Param / Part بشكل مستمر على النموذج بأكمله. تأخذ إعدادات جانب الوجه الأولوية عند وجودها.,Pengeditan nilai Param / Part diterapkan secara terus menerus ke seluruh model. Pengaturan sisi muka menjadi prioritas saat ada.
Item_DynamicOverrides_Name,name,一覧,List,列表,列表,목록,Lista,قائمة,Daftar
Item_Expression_Desc,desc,model3.json の Expressions から選択,Selects an expression from model3.json Expressions.,从 model3.json 的 Expressions 中选择。,從 model3.json 的 Expressions 中選擇。,model3.json 의 Expressions 에서 선택합니다.,Selecciona una expresión de model3.json Expressions.,تحديد تعبير من model3.json Expressions.,Memilih ekspresi dari model3.json Expressions.
Item_Expression_Name,name,表情,Expression,表情,表情,표정,Expression,Expression,Expression
Item_IsHidden_Desc,desc,ONで非表示、OFFで表示します,Turns visibility off when ON.,开启时隐藏，关闭时显示。,開啟時隱藏，關閉時顯示。,켜면 숨기고 끄면 표시합니다.,Desactiva la visibilidad cuando está activada.,يقوم بإيقاف الرؤية عند التشغيل.,Menonaktifkan visibilitas saat AKTIF.
Item_IsHidden_Name,name,非表示,Hide,隐藏,隱藏,숨기기,Esconder,يخفي,Bersembunyi
